viewCount,likeCount,dislikeCount,commentCount,subscriberCount,channelVideoCount,channelViewCount,PrevCommentCount,PrevDislikeCount,PrevLikeCount,PrevViewCount,Days,Hours_published,Age_Channel
5190506,185103,3550,13318,1.40E+07,1348,2504291435,10018,3373,147001,3987632,7,168,12
3987632,147001,3373,10018,1.40E+07,1348,2504291435,6612,2672,123717,3229733,2,48,12
3229733,123717,2672,6612,1.40E+07,1348,2504291435,9547,2089,118701,3447379,3,72,12
3447379,118701,2089,9547,1.40E+07,1348,2504291435,9758,2451,122559,2734174,1,24,12
2734174,122559,2451,9758,1.40E+07,1348,2504291435,5761,2781,144451,3699102,3,72,12
3699102,144451,2781,5761,1.40E+07,1348,2504291435,13202,3893,171365,3871398,4,96,12
3871398,171365,3893,13202,1.40E+07,1348,2504291435,19191,3610,242747,3943859,5,120,12
3943859,242747,3610,19191,1.40E+07,1348,2504291435,12144,3624,162684,5033189,2,48,12
5033189,162684,3624,12144,1.40E+07,1348,2504291435,36316,11022,193199,4437533,6,144,12
4437533,193199,11022,36316,1.40E+07,1348,2504291435,17792,4292,236238,5531087,5,120,12
5531087,236238,4292,17792,1.40E+07,1348,2504291435,26504,7202,318347,10244233,3,72,12
4756495,210963,4044,21600,1.40E+07,1348,2504291435,7562,1864,112654,2803317,4,96,12
2803317,112654,1864,7562,1.40E+07,1348,2504291435,18266,6804,216788,5672302,2,48,12
5672302,216788,6804,18266,1.40E+07,1348,2504291435,8517,2318,130935,3473027,1,24,12
3473027,130935,2318,8517,1.40E+07,1348,2504291435,12923,36489,115574,2581813,0,0,12
2581813,115574,36489,12923,1.40E+07,1348,2504291435,8565,6133,140071,3700925,5,120,12
3700925,140071,6133,8565,1.40E+07,1348,2504291435,5460,3777,162311,5188208,2,48,12
5188208,162311,3777,5460,1.40E+07,1348,2504291435,48672,22978,611158,5925380,5,120,12
5925380,611158,22978,48672,1.40E+07,1348,2504291435,15087,5286,266653,6647942,6,144,12
6647942,266653,5286,15087,1.40E+07,1348,2504291435,8489,2990,118529,4072999,3,72,12
4072999,118529,2990,8489,1.40E+07,1348,2504291435,5759,2187,153522,3460892,3,72,12
3460892,153522,2187,5759,1.40E+07,1348,2504291435,4438,879,77166,1885626,4,96,12
1885626,77166,879,4438,1.40E+07,1348,2504291435,9614,2268,87406,2260711,4,96,12
2260711,87406,2268,9614,1.40E+07,1348,2504291435,7883,3576,125667,4204158,2,48,12
4204158,125667,3576,7883,1.40E+07,1348,2504291435,21970,11012,211465,6108409,4,96,12
6108409,211465,11012,21970,1.40E+07,1348,2504291435,7763,2489,107923,4103603,2,48,12
4103603,107923,2489,7763,1.40E+07,1348,2504291435,8939,2278,136088,3872801,2,48,12
3872801,136088,2278,8939,1.40E+07,1348,2504291435,8536,2957,121195,3727069,3,72,12
3727069,121195,2957,8536,1.40E+07,1348,2504291435,9575,3838,115412,3723895,2,48,12
3723895,115412,3838,9575,1.40E+07,1348,2504291435,9016,2865,144631,3337923,3,72,12
3337923,144631,2865,9016,1.40E+07,1348,2504291435,26756,8462,279672,8747031,5,120,12
5821439,171607,3664,10626,1.40E+07,1348,2504291435,18451,4950,160459,4232267,3,72,12
4232267,160459,4950,18451,1.40E+07,1348,2504291435,7149,2225,95553,3157904,1,24,12
3157904,95553,2225,7149,1.40E+07,1348,2504291435,15475,5310,177412,6196726,2,48,12
